mdi_i,year,month,day,hour,minute,second,intf_n,intfc_n,unsflux_n,unsfluxc_n,sflux_n,sfluxc_n,posfluxc_n,negfluxc_n,vnpc_pxn,visarea_n,max_pxflux_n,max_pxf_n,max_pxfc_n,n_swt,intf_s,intfc_s,unsflux_s,unsfluxc_s,sflux_s,sfluxc_s,posfluxc_s,negfluxc_s,vnpc_pxs,visarea_s,max_pxflux_s,max_pxf_s,max_pxfc_s,s_swt
2204,1976,1,13,17,26,59,1.06619,1.06619,5.67E+21,2.20E+21,5.25E+20,5.35E+20,1.37E+21,-8.34E+20,26319,6.11E+20,3.73E+18,118.06,118.06,0,-1.69918,-1.69918,7.82E+21,9.21E+21,-2.05E+21,-2.66E+21,3.27E+21,-5.94E+21,66992,1.20E+21,3.40E+18,85.4974,85.4974,0
2205,1976,1,14,16,54,18,1.09978,1.09978,3.34E+21,1.29E+21,4.61E+20,3.32E+20,8.11E+20,-4.79E+20,22545,4.88E+20,3.19E+18,67.3425,67.3425,0,-1.88132,-1.88132,6.73E+21,7.98E+21,-2.06E+21,-2.60E+21,2.69E+21,-5.29E+21,64039,1.10E+21,2.29E+18,81.7069,81.7069,0
2206,1976,1,15,17,4,59,60.181,60.181,2.26E+22,2.33E+20,2.01E+22,2.10E+19,1.27E+20,-1.06E+20,15356,2.73E+20,1.40E+18,3336.26,3336.26,0,-1.09603,-1.09603,1.04E+22,7.76E+21,-1.50E+20,-2.51E+21,2.62E+21,-5.14E+21,57011,8.21E+20,2.15E+18,3271.94,3271.94,0
2207,1976,1,16,16,20,59,1.5837,1.5837,4.52E+21,2.11E+21,7.27E+20,8.35E+20,1.47E+21,-6.40E+20,25861,6.17E+20,2.96E+18,89.6819,89.6819,0,-1.56412,-1.56412,8.18E+21,9.61E+21,-1.58E+21,-2.96E+21,3.32E+21,-6.29E+21,69431,1.26E+21,2.80E+18,70.8987,70.8987,0
2208,1976,1,17,17,3,23,0.932448,0.932448,3.57E+21,1.51E+21,3.88E+20,4.05E+20,9.60E+20,-5.54E+20,23894,5.42E+20,2.33E+18,47.6202,47.6202,0,-1.85085,-1.85085,7.38E+21,9.79E+21,-1.99E+21,-3.00E+21,3.39E+21,-6.39E+21,68634,1.19E+21,3.21E+18,53.3239,53.3239,0
2215,1976,1,24,17,20,59,1.77491,1.77491,4.71E+21,2.00E+21,1.12E+21,7.78E+20,1.39E+21,-6.08E+20,26120,7.17E+20,3.62E+18,58.8982,58.8982,0,-1.22674,-1.22674,1.26E+22,1.50E+22,-1.81E+21,-2.38E+21,6.33E+21,-8.70E+21,77029,1.47E+21,8.11E+18,180.647,180.647,0
2216,1976,1,25,16,43,26,0.84203,0.84203,2.77E+21,4.51E+20,2.47E+20,1.09E+20,2.80E+20,-1.71E+20,18326,3.84E+20,1.27E+18,76.1575,76.1575,0,-1.83796,-1.83796,5.97E+21,7.63E+21,-1.79E+21,-3.23E+21,2.20E+21,-5.43E+21,69424,1.09E+21,3.01E+18,58.0097,58.0097,0
2217,1976,1,26,20,58,41,1.87225,1.87225,3.20E+21,7.52E+20,7.98E+20,3.82E+20,5.67E+20,-1.85E+20,20276,4.61E+20,4.19E+18,119.618,119.618,0,-1.69998,-1.69998,6.36E+21,8.65E+21,-1.80E+21,-3.61E+21,2.52E+21,-6.13E+21,72464,1.21E+21,3.42E+18,77.0253,77.0253,0
2218,1976,1,27,17,7,20,1.00632,1.00632,5.61E+21,1.77E+21,8.32E+20,7.27E+20,1.25E+21,-5.23E+20,26073,8.26E+20,2.66E+18,70.59,70.59,0,-2.40879,-2.40879,1.01E+22,1.09E+22,-3.77E+21,-5.25E+21,2.83E+21,-8.08E+21,78243,1.64E+21,3.13E+18,107.566,107.566,0
2219,1976,1,28,17,34,44,0.984621,0.984621,2.61E+21,2.57E+20,3.30E+20,1.71E+19,1.37E+20,-1.20E+20,16549,3.53E+20,1.35E+18,58.6772,58.6772,0,-2.49623,-2.49623,7.69E+21,9.43E+21,-2.75E+21,-3.78E+21,2.82E+21,-6.60E+21,69141,1.10E+21,3.50E+18,88.7511,88.7511,0
2220,1976,1,29,17,8,1,1.85997,1.85997,2.92E+21,4.29E+20,7.11E+20,1.09E+20,2.69E+20,-1.60E+20,17700,3.88E+20,4.40E+18,204.078,204.078,0,-1.90601,-1.90601,8.15E+21,9.85E+21,-2.26E+21,-2.85E+21,3.50E+21,-6.35E+21,71188,1.15E+21,3.81E+18,77.1939,77.1939,0
2221,1976,1,30,17,45,43,1.54684,1.54684,2.00E+21,2.06E+19,4.63E+20,1.03E+19,1.54E+19,-5.13E+18,13898,2.86E+20,7.05E+17,89.469,89.469,0,-1.5154,-1.5154,5.95E+21,7.36E+21,-1.33E+21,-2.61E+21,2.38E+21,-4.99E+21,66786,1.04E+21,3.00E+18,75.1311,75.1311,0
2222,1976,1,31,17,52,5,1.23041,1.23041,2.04E+21,9.99E+19,3.78E+20,4.97E+19,7.48E+19,-2.51E+19,15045,3.18E+20,1.21E+18,90.2651,90.2651,0,-2.17436,-2.17436,6.45E+21,8.19E+21,-2.21E+21,-3.46E+21,2.36E+21,-5.82E+21,69228,1.09E+21,3.26E+18,82.9316,82.9316,0
2223,1976,2,1,17,2,19,1.65422,1.65422,2.66E+21,3.37E+20,5.68E+20,1.59E+20,2.48E+20,-8.89E+19,16518,3.63E+20,5.62E+18,140.634,140.634,0,-1.59095,-1.59095,8.47E+21,1.04E+22,-1.62E+21,-2.95E+21,3.72E+21,-6.67E+21,71770,1.16E+21,2.86E+18,84.7688,84.7688,0
2224,1976,2,2,18,50,45,1.78067,1.78067,2.87E+21,5.49E+20,7.70E+20,2.64E+20,4.06E+20,-1.43E+20,19024,4.48E+20,1.91E+18,158.394,158.394,0,-2.21977,-2.21977,6.85E+21,9.35E+21,-2.42E+21,-4.86E+21,2.25E+21,-7.10E+21,75786,1.27E+21,3.20E+18,59.3366,59.3366,0
2235,1976,2,13,21,59,20,0.3117,0.3117,1.83E+21,NaN,3.29E+19,NaN,NaN,NaN,11132,2.30E+20,NaN,77.4697,77.4697,4,-1.66778,-1.66778,7.21E+21,9.16E+21,-1.68E+21,-2.64E+21,3.26E+21,-5.90E+21,72141,1.08E+21,2.02E+18,54.0519,54.0519,0
2236,1976,2,14,20,55,59,0.858235,0.858235,1.73E+21,NaN,2.02E+20,NaN,NaN,NaN,11386,2.39E+20,NaN,68.7631,68.7631,4,-1.75652,-1.75652,7.08E+21,8.93E+21,-1.75E+21,-3.09E+21,2.92E+21,-6.01E+21,72488,1.10E+21,2.54E+18,61.7433,61.7433,0
2237,1976,2,15,18,19,8,0.837305,0.837305,2.39E+21,5.15E+19,3.01E+20,-2.18E+18,2.47E+19,-2.69E+19,14433,3.35E+20,1.14E+18,76.5627,76.5627,0,-2.1575,-2.1575,7.56E+21,9.93E+21,-2.50E+21,-4.03E+21,2.95E+21,-6.98E+21,76051,1.23E+21,2.13E+18,76.0821,76.0821,0
2238,1976,2,16,20,5,55,2.15232,2.15232,3.94E+21,6.26E+20,1.27E+21,1.41E+20,3.84E+20,-2.42E+20,19289,5.19E+20,2.22E+18,92.5465,92.5465,0,-1.64827,-1.64827,1.07E+22,1.35E+22,-1.87E+21,-3.99E+21,4.73E+21,-8.72E+21,82908,1.46E+21,3.37E+18,194.688,194.688,0
2239,1976,2,17,18,24,50,1.50158,1.50158,2.58E+21,1.19E+20,5.50E+20,7.12E+18,6.29E+19,-5.58E+19,15491,3.67E+20,1.40E+18,68.4767,68.4767,0,-2.23814,-2.23814,8.27E+21,1.09E+22,-2.52E+21,-4.87E+21,3.01E+21,-7.88E+21,78764,1.28E+21,2.52E+18,100.197,100.197,0
2240,1976,2,18,17,33,58,0.952605,0.952605,3.06E+21,4.56E+20,4.84E+20,1.58E+20,3.07E+20,-1.49E+20,17234,4.41E+20,2.72E+18,69.4026,69.4026,0,-2.36375,-2.36375,1.03E+22,1.33E+22,-3.18E+21,-4.73E+21,4.31E+21,-9.04E+21,81755,1.42E+21,3.97E+18,74.734,74.734,0
