2248,1976,2,26,16,56,9,1.86442,7.03834,2.17E+21,7.71E+20,1.47E+21,-6.99E+20,5597,1.09E+20,0,-2.13789,-5.54121,1.55E+22,-5.16E+21,5.15E+21,-1.03E+22,66676,9.50E+20,0
2249,1976,2,27,18,12,47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,-3.33692,-10.3191,3.45E+22,-1.82E+22,8.19E+21,-2.64E+22,89206,1.58E+21,0
2250,1976,2,28,18,6,50,1.7669,5.74284,1.56E+22,3.66E+21,9.64E+21,-5.98E+21,20002,6.09E+20,0,-1.99738,-6.14776,3.13E+22,-1.01E+22,1.06E+22,-2.07E+22,86429,1.65E+21,0
2251,1976,2,29,15,59,5,1.52077,5.64741,8.31E+21,2.07E+21,5.19E+21,-3.12E+21,15474,3.88E+20,0,-2.08929,-5.56422,2.48E+22,-7.10E+21,8.85E+21,-1.60E+22,81272,1.37E+21,0
2256,1976,3,5,18,46,18,1.45073,5.5462,4.16E+21,6.84E+20,2.42E+21,-1.74E+21,6193,1.23E+20,0,-3.53194,-9.47503,2.20E+22,-9.42E+21,6.30E+21,-1.57E+22,68238,9.87E+20,0
2257,1976,3,6,20,51,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2259,1976,3,8,16,5,2,1.75775,6.65507,3.49E+21,9.07E+20,2.20E+21,-1.29E+21,6835,1.40E+20,0,-2.68785,-7.08445,2.74E+22,-7.04E+21,1.02E+22,-1.72E+22,68539,1.01E+21,0
2260,1976,3,9,19,5,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,-3.23439,-9.16736,3.19E+22,-1.41E+22,8.91E+21,-2.30E+22,86802,1.61E+21,0
2262,1976,3,11,16,1,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2263,1976,3,12,21,54,34,0.3743,1.23285,2.79E+21,1.07E+20,1.45E+21,-1.34E+21,5221,1.01E+20,0,-1.07762,-2.49589,2.13E+22,-2.01E+21,9.63E+21,-1.16E+22,66223,9.41E+20,0
