mdi_i,year,month,day,hour,minute,second,intf_n,intfc_n,unsflux_n,unsfluxc_n,sflux_n,sfluxc_n,posfluxc_n,negfluxc_n,vnpc_pxn,visarea_n,max_pxflux_n,max_pxf_n,max_pxfc_n,n_swt,intf_s,intfc_s,unsflux_s,unsfluxc_s,sflux_s,sfluxc_s,posfluxc_s,negfluxc_s,vnpc_pxs,visarea_s,max_pxflux_s,max_pxf_s,max_pxfc_s,s_swt
463,2010,4,8,21,46,19.1,-0.463525,-0.463525,6.12E+21,2.10E+21,-2.43E+20,-2.33E+20,9.34E+20,-1.17E+21,99883,9.75E+20,8.48E+17,58.0925,58.0925,0,0.180828,0.180828,3.69E+22,1.40E+22,-2.01E+21,2.03E+21,8.04E+21,-6.01E+21,312174,1.84E+21,1.73E+18,3041.4,3041.4,0
481,2010,4,26,21,46,21.6,-0.564552,-0.564552,6.63E+21,3.40E+21,-4.20E+20,-6.38E+20,1.38E+21,-2.02E+21,117682,1.08E+21,1.93E+18,104.151,104.151,0,1.24359,1.24359,2.81E+22,1.24E+22,2.73E+21,1.85E+21,7.10E+21,-5.25E+21,276592,1.73E+21,1.83E+18,4743.25,4743.25,0
482,2010,4,27,21,46,21.7,-0.504742,-0.504742,6.48E+21,3.24E+21,-4.30E+20,-4.14E+20,1.41E+21,-1.83E+21,118898,1.08E+21,2.34E+18,62.6131,62.6131,0,1.19961,1.19961,2.69E+22,1.23E+22,2.81E+21,1.60E+21,6.95E+21,-5.34E+21,274440,1.72E+21,1.89E+18,4897.63,4897.63,0
486,2010,5,1,21,46,22.3,-0.0757475,-0.0757475,2.87E+22,3.74E+21,9.54E+20,-5.36E+20,1.60E+21,-2.14E+21,124326,1.11E+21,1.69E+18,5079.11,5079.11,0,1.01793,1.01793,1.37E+22,1.26E+22,1.22E+21,2.34E+21,7.49E+21,-5.15E+21,266303,1.70E+21,2.26E+18,2371.44,2371.44,0
487,2010,5,2,21,46,22.4,0.205425,0.205425,1.99E+22,3.93E+21,2.30E+21,-4.13E+20,1.76E+21,-2.17E+21,125715,1.12E+21,1.23E+18,4573.7,4573.7,0,1.08959,1.08959,1.37E+22,1.24E+22,1.64E+21,2.53E+21,7.48E+21,-4.95E+21,264074,1.69E+21,2.71E+18,2802.25,2802.25,0
488,2010,5,3,21,46,22.5,0.343301,0.343301,2.79E+22,3.88E+21,3.14E+21,-2.26E+20,1.83E+21,-2.05E+21,127018,1.13E+21,1.48E+18,4280.52,4280.52,0,1.10547,1.10547,1.44E+22,1.26E+22,1.94E+21,2.34E+21,7.49E+21,-5.15E+21,261795,1.68E+21,2.11E+18,2022.61,2022.61,0
489,2010,5,4,21,46,22.6,0.284658,0.284658,2.74E+22,4.16E+21,2.80E+21,-3.86E+20,1.89E+21,-2.27E+21,128423,1.13E+21,1.50E+18,3824.45,3824.45,0,1.21984,1.21984,1.42E+22,1.25E+22,1.78E+21,2.85E+21,7.67E+21,-4.82E+21,259490,1.67E+21,2.62E+18,2377.76,2377.76,0
490,2010,5,5,21,46,22.8,0.0770282,0.0770282,1.85E+22,4.24E+21,3.51E+21,-5.78E+20,1.83E+21,-2.41E+21,129803,1.14E+21,1.56E+18,4159.37,4159.37,0,1.05618,1.05618,1.33E+22,1.24E+22,1.37E+21,2.41E+21,7.41E+21,-5.00E+21,257236,1.67E+21,3.10E+18,2648.49,2648.49,0
491,2010,5,6,21,46,22.9,0.172284,0.172284,2.08E+22,4.25E+21,1.80E+21,-1.13E+20,2.07E+21,-2.18E+21,131278,1.15E+21,1.73E+18,4514.8,4514.8,0,1.03967,1.03967,1.57E+22,1.23E+22,1.77E+21,2.17E+21,7.23E+21,-5.06E+21,255006,1.66E+21,2.45E+18,3430.51,3430.51,0
492,2010,5,7,21,46,23,-0.218427,-0.218427,1.72E+22,4.41E+21,8.09E+20,-6.01E+20,1.90E+21,-2.50E+21,132771,1.16E+21,1.16E+18,3962.44,3962.44,0,1.19648,1.19648,1.65E+22,1.23E+22,5.23E+20,2.65E+21,7.47E+21,-4.82E+21,252747,1.65E+21,2.20E+18,3830.65,3830.65,0
493,2010,5,8,21,46,23.1,-0.364577,-0.364577,1.76E+22,4.56E+21,1.11E+21,-4.45E+20,2.06E+21,-2.50E+21,134189,1.16E+21,1.45E+18,4205.61,4205.61,0,0.960004,0.960004,1.30E+22,1.21E+22,1.15E+21,1.89E+21,6.98E+21,-5.08E+21,250468,1.65E+21,3.62E+18,3942.68,3942.68,0
494,2010,5,9,21,46,23.3,-0.223578,-0.223578,1.56E+22,4.70E+21,7.06E+20,-2.96E+20,2.20E+21,-2.50E+21,135719,1.17E+21,1.23E+18,4334.62,4334.62,0,0.996434,0.996434,1.31E+22,1.17E+22,1.37E+21,1.87E+21,6.77E+21,-4.90E+21,248153,1.64E+21,2.34E+18,4078.99,4078.99,0
495,2010,5,10,21,46,23.4,-0.318205,-0.318205,1.42E+22,4.76E+21,3.13E+20,-4.37E+20,2.16E+21,-2.60E+21,137274,1.18E+21,1.82E+18,4399.83,4399.83,0,0.934947,0.934947,1.27E+22,1.16E+22,7.42E+20,1.99E+21,6.81E+21,-4.82E+21,245807,1.63E+21,2.06E+18,4232.53,4232.53,0
496,2010,5,11,21,46,23.5,-0.681708,-0.681708,1.53E+22,4.84E+21,-1.34E+21,-5.25E+20,2.16E+21,-2.68E+21,138776,1.19E+21,1.37E+18,4543.38,4543.38,0,1.1499,1.1499,1.32E+22,1.17E+22,1.42E+21,2.31E+21,7.00E+21,-4.70E+21,243585,1.62E+21,2.15E+18,4263.64,4263.64,0
497,2010,5,12,21,46,23.6,-0.435803,-0.435803,1.74E+22,4.99E+21,7.87E+20,-5.60E+20,2.21E+21,-2.77E+21,140314,1.20E+21,1.54E+18,4978.52,4978.52,0,1.1653,1.1653,1.38E+22,1.19E+22,1.68E+21,2.49E+21,7.21E+21,-4.72E+21,241291,1.61E+21,2.60E+18,4468.25,4468.25,0
498,2010,5,13,21,46,23.7,-0.926548,-0.926548,1.49E+22,5.12E+21,-1.77E+21,-6.63E+20,2.23E+21,-2.89E+21,141987,1.20E+21,2.17E+18,4660.67,4660.67,0,1.38006,1.38006,1.32E+22,1.16E+22,2.72E+21,2.31E+21,6.95E+21,-4.63E+21,238915,1.61E+21,2.61E+18,4758.61,4758.61,0
499,2010,5,14,21,46,23.8,-0.219791,-0.219791,1.53E+22,5.05E+21,-2.20E+20,-1.05E+20,2.47E+21,-2.58E+21,143534,1.21E+21,1.58E+18,3924.28,3924.28,0,0.888931,0.888931,1.28E+22,1.11E+22,1.31E+21,1.59E+21,6.37E+21,-4.78E+21,236665,1.60E+21,2.69E+18,4840.96,4840.96,0
500,2010,5,15,21,46,23.9,-1.02827,-1.02827,1.37E+22,5.33E+21,-1.91E+21,-7.90E+20,2.27E+21,-3.06E+21,145128,1.22E+21,1.47E+18,3735.25,3735.25,0,0.921459,0.921459,1.43E+22,1.10E+22,1.73E+21,1.45E+21,6.24E+21,-4.80E+21,234397,1.59E+21,2.41E+18,3990.41,3990.41,0
501,2010,5,16,21,46,24,-0.983478,-0.983478,1.97E+22,5.36E+21,-2.28E+21,-3.74E+20,2.49E+21,-2.87E+21,146853,1.23E+21,2.17E+18,3043.81,3043.81,0,0.979225,0.979225,1.40E+22,1.10E+22,1.83E+21,1.75E+21,6.39E+21,-4.64E+21,232056,1.58E+21,2.57E+18,4926.7,4926.7,0
502,2010,5,17,21,46,24.1,-1.0989,-1.0989,1.74E+22,5.32E+21,-2.90E+21,-7.02E+20,2.31E+21,-3.01E+21,148516,1.24E+21,1.52E+18,3395.42,3395.42,0,0.95641,0.95641,1.36E+22,1.07E+22,1.30E+21,1.73E+21,6.21E+21,-4.48E+21,229749,1.57E+21,2.48E+18,2940.22,2940.22,0
503,2010,5,18,21,46,24.2,-0.204252,-0.204252,1.97E+22,5.37E+21,1.28E+20,-3.45E+20,2.51E+21,-2.85E+21,150159,1.24E+21,1.20E+18,5091.01,5091.01,0,0.694124,0.694124,1.50E+22,1.04E+22,6.71E+20,1.38E+21,5.91E+21,-4.53E+21,227529,1.57E+21,2.27E+18,3438.41,3438.41,0
504,2010,5,19,21,46,24.3,-0.857019,-0.857019,1.63E+22,5.55E+21,-2.46E+21,-4.34E+20,2.56E+21,-2.99E+21,151898,1.25E+21,2.02E+18,1261.94,1261.94,0,0.934146,0.934146,1.43E+22,1.03E+22,1.53E+21,1.40E+21,5.86E+21,-4.46E+21,225093,1.56E+21,3.52E+18,2916.19,2916.19,0
505,2010,5,20,21,46,24.4,-0.71779,-0.71779,1.59E+22,5.61E+21,-1.38E+21,-4.76E+20,2.57E+21,-3.04E+21,153676,1.26E+21,1.69E+18,854.733,854.733,0,0.696981,0.696981,1.33E+22,1.01E+22,9.10E+20,1.42E+21,5.78E+21,-4.36E+21,222941,1.55E+21,1.83E+18,2575.31,2575.31,0
506,2010,5,21,21,46,24.5,-0.760564,-0.760564,1.63E+22,5.86E+21,-1.28E+21,-6.22E+20,2.62E+21,-3.24E+21,155457,1.27E+21,1.48E+18,2125.35,2125.35,0,0.787959,0.787959,1.50E+22,1.00E+22,2.24E+21,1.13E+21,5.58E+21,-4.45E+21,220659,1.54E+21,2.02E+18,4377.76,4377.76,0
507,2010,5,22,21,46,24.6,-0.85242,-0.85242,1.69E+22,5.74E+21,-1.38E+21,-6.34E+20,2.55E+21,-3.19E+21,157171,1.28E+21,1.85E+18,2814.84,2814.84,0,0.783148,0.783148,1.35E+22,9.71E+21,6.46E+20,1.16E+21,5.44E+21,-4.27E+21,218316,1.53E+21,2.33E+18,2374.12,2374.12,0
508,2010,5,23,21,46,24.7,-0.935028,-0.935028,1.78E+22,5.98E+21,-2.63E+21,-4.76E+20,2.75E+21,-3.23E+21,158939,1.29E+21,1.85E+18,2570.65,2570.65,0,0.773446,0.773446,1.47E+22,9.70E+21,8.57E+20,1.36E+21,5.53E+21,-4.17E+21,216142,1.52E+21,2.17E+18,3824.1,3824.1,0
509,2010,5,24,21,46,24.8,-1.09108,-1.09108,1.79E+22,6.04E+21,-3.62E+21,-4.77E+20,2.78E+21,-3.26E+21,160743,1.29E+21,1.42E+18,2089.13,2089.13,0,0.706037,0.706037,1.22E+22,9.44E+21,8.15E+20,1.10E+21,5.27E+21,-4.17E+21,213761,1.51E+21,1.83E+18,2642.28,2642.28,0
510,2010,5,25,21,46,24.9,-0.669699,-0.669699,1.70E+22,6.29E+21,-1.54E+21,-5.08E+20,2.89E+21,-3.40E+21,162616,1.30E+21,2.09E+18,2749.87,2749.87,0,0.68762,0.68762,1.24E+22,9.43E+21,9.33E+20,8.70E+20,5.15E+21,-4.28E+21,211600,1.51E+21,1.88E+18,3385.23,3385.23,0
511,2010,5,26,21,46,25,-0.546302,-0.546302,1.77E+22,6.36E+21,-1.19E+21,-3.44E+20,3.01E+21,-3.35E+21,164534,1.31E+21,1.72E+18,3447.63,3447.63,0,0.557103,0.557103,1.29E+22,9.22E+21,8.72E+20,8.64E+20,5.04E+21,-4.18E+21,209399,1.50E+21,3.03E+18,3174.46,3174.46,0
512,2010,5,27,21,46,25.1,-0.870582,-0.870582,1.64E+22,6.41E+21,-1.75E+21,-9.55E+20,2.73E+21,-3.68E+21,166336,1.32E+21,1.99E+18,1171.76,1171.76,0,0.4649,0.4649,1.15E+22,8.92E+21,8.67E+20,9.52E+20,4.94E+21,-3.99E+21,207068,1.49E+21,1.68E+18,2433.24,2433.24,0
513,2010,5,28,21,46,25.1,-0.569906,-0.569906,1.63E+22,6.41E+21,-9.50E+20,-6.53E+20,2.88E+21,-3.53E+21,168145,1.33E+21,1.42E+18,2987.35,2987.35,0,0.694767,0.694767,1.25E+22,8.97E+21,1.24E+21,1.06E+21,5.01E+21,-3.95E+21,204939,1.48E+21,1.95E+18,2934.16,2934.16,0
514,2010,5,29,21,46,25.2,-0.819177,-0.819177,2.10E+22,6.92E+21,-1.79E+21,-9.16E+20,3.00E+21,-3.92E+21,170028,1.34E+21,2.17E+18,3670.75,3670.75,0,0.747981,0.747981,1.36E+22,8.93E+21,8.67E+20,1.22E+21,5.07E+21,-3.86E+21,202540,1.47E+21,2.26E+18,4182.19,4182.19,0
515,2010,5,30,21,46,25.3,-0.661939,-0.661939,2.02E+22,6.93E+21,-3.55E+19,-1.04E+21,2.95E+21,-3.99E+21,171952,1.35E+21,1.85E+18,2792.84,2792.84,0,0.54064,0.54064,1.24E+22,8.52E+21,6.22E+20,7.81E+20,4.65E+21,-3.87E+21,200474,1.46E+21,1.56E+18,4702.93,4702.93,0
516,2010,5,31,21,46,25.4,-0.901021,-0.901021,2.16E+22,7.14E+21,-1.56E+21,-1.35E+21,2.90E+21,-4.25E+21,173891,1.35E+21,1.65E+18,3643.73,3643.73,0,0.729006,0.729006,1.24E+22,8.59E+21,1.21E+21,9.24E+20,4.76E+21,-3.83E+21,198343,1.46E+21,1.36E+18,4331.68,4331.68,0
517,2010,6,1,21,46,25.5,-0.584033,-0.584033,2.22E+22,7.11E+21,3.95E+20,-1.22E+21,2.94E+21,-4.16E+21,175904,1.36E+21,1.38E+18,3518.3,3518.3,0,0.62008,0.62008,1.16E+22,8.53E+21,6.47E+20,8.40E+20,4.68E+21,-3.84E+21,196026,1.45E+21,1.76E+18,3661.09,3661.09,0
518,2010,6,2,21,46,25.6,-0.924555,-0.924555,1.91E+22,7.52E+21,-2.30E+21,-1.12E+21,3.20E+21,-4.32E+21,177928,1.37E+21,2.68E+18,1705.59,1705.59,0,0.977304,0.977304,1.30E+22,8.53E+21,1.57E+21,1.00E+21,4.77E+21,-3.77E+21,194012,1.44E+21,2.31E+18,4536.88,4536.88,0
519,2010,6,3,21,46,25.6,-0.429388,-0.429388,2.11E+22,7.66E+21,-4.90E+20,-9.38E+20,3.36E+21,-4.30E+21,179739,1.38E+21,1.48E+18,3865.26,3865.26,0,0.760734,0.760734,1.10E+22,8.30E+21,9.44E+20,1.23E+21,4.77E+21,-3.54E+21,191432,1.43E+21,1.71E+18,3997.32,3997.32,0
520,2010,6,4,21,46,25.7,-0.610703,-0.610703,1.64E+22,7.44E+21,-8.97E+20,-1.15E+21,3.15E+21,-4.30E+21,181633,1.39E+21,2.47E+18,646.052,646.052,0,0.993419,0.993419,1.14E+22,8.37E+21,7.45E+20,1.43E+21,4.90E+21,-3.47E+21,189456,1.42E+21,2.28E+18,4254.29,4254.29,0
521,2010,6,5,21,46,25.8,-0.537968,-0.537968,1.73E+22,7.51E+21,-4.31E+20,-8.99E+20,3.31E+21,-4.21E+21,183627,1.40E+21,1.63E+18,952.014,952.014,0,0.744498,0.744498,1.17E+22,8.29E+21,7.43E+20,1.35E+21,4.82E+21,-3.47E+21,187679,1.41E+21,2.44E+18,4137.18,4137.18,0
522,2010,6,6,21,46,25.8,-0.308738,-0.308738,1.71E+22,7.56E+21,-5.58E+20,-2.96E+20,3.63E+21,-3.93E+21,185661,1.41E+21,1.55E+18,2125.36,2125.36,0,1.04335,1.04335,1.06E+22,8.20E+21,1.18E+21,1.84E+21,5.02E+21,-3.18E+21,185236,1.40E+21,2.00E+18,4102.77,4102.77,0
523,2010,6,7,21,46,25.9,-0.167493,-0.167493,1.93E+22,7.61E+21,1.75E+20,-2.36E+20,3.68E+21,-3.92E+21,187736,1.41E+21,1.75E+18,3972.73,3972.73,0,1.2081,1.2081,1.07E+22,8.28E+21,1.56E+21,2.00E+21,5.14E+21,-3.14E+21,183272,1.40E+21,2.14E+18,4256.96,4256.96,0
524,2010,6,8,21,46,26,-0.532803,-0.532803,1.81E+22,7.64E+21,-7.09E+20,-8.72E+20,3.38E+21,-4.26E+21,190192,1.43E+21,1.67E+18,1054.95,1054.95,0,1.09466,1.09466,1.09E+22,8.07E+21,1.25E+21,2.03E+21,5.05E+21,-3.02E+21,181187,1.39E+21,2.45E+18,4463.89,4463.89,0
525,2010,6,9,21,46,26,-0.768323,-0.768323,1.71E+22,7.70E+21,-1.84E+21,-8.11E+20,3.44E+21,-4.25E+21,191935,1.43E+21,1.25E+18,1795.48,1795.48,0,1.33994,1.33994,1.21E+22,8.01E+21,1.65E+21,1.72E+21,4.87E+21,-3.14E+21,179091,1.38E+21,2.10E+18,4312.39,4312.39,0
