mdi_i,year,month,day,hour,minute,second,intf_n,intfc_n,unsflux_n,unsfluxc_n,sflux_n,sfluxc_n,posfluxc_n,negfluxc_n,vnpc_pxn,visarea_n,max_pxflux_n,max_pxf_n,max_pxfc_n,n_swt,intf_s,intfc_s,unsflux_s,unsfluxc_s,sflux_s,sfluxc_s,posfluxc_s,negfluxc_s,vnpc_pxs,visarea_s,max_pxflux_s,max_pxf_s,max_pxfc_s,s_swt
1207,1996,4,21,0,30,4.574,0.851535,0.851535,1.76E+22,1.35E+22,6.99E+20,1.39E+21,7.46E+21,-6.07E+21,9058,1.04E+21,2.56E+19,94.9242,94.9242,0,-1.8303,-1.8303,3.37E+22,4.83E+22,-3.25E+21,-5.80E+21,2.13E+22,-2.71E+22,20590,1.77E+21,3.50E+19,101.337,101.337,0
1209,1996,4,23,14,58,4.631,10.6242,10.6242,9.89E+21,7.52E+21,4.58E+21,1.88E+21,4.70E+21,-2.82E+21,9259,1.06E+21,1.26E+19,421.337,421.337,0,-8.05515,-8.05515,2.01E+22,2.99E+22,-7.70E+21,-9.44E+21,1.02E+22,-1.97E+22,20261,1.75E+21,2.39E+19,58.766,58.766,0
1210,1996,4,24,9,7,4.648,14.3925,14.3925,1.01E+22,8.16E+21,5.05E+21,2.44E+21,5.30E+21,-2.86E+21,9333,1.06E+21,1.32E+19,371.16,371.16,0,-7.49747,-7.49747,2.01E+22,3.01E+22,-8.09E+21,-9.09E+21,1.05E+22,-1.96E+22,20140,1.74E+21,2.48E+19,67.7698,67.7698,0
1214,1996,4,28,12,19,4.744,1.23378,1.23378,8.85E+21,7.83E+21,1.20E+21,4.97E+20,4.16E+21,-3.66E+21,9689,1.09E+21,1.00E+19,286.06,286.06,0,-1.75317,-1.75317,1.84E+22,2.86E+22,-2.76E+21,-5.10E+21,1.18E+22,-1.69E+22,19640,1.72E+21,2.44E+19,63.9092,63.9092,0
1215,1996,4,28,23,32,4.756,1.30482,1.30482,1.80E+22,1.61E+22,9.94E+20,1.50E+21,8.78E+21,-7.27E+21,9736,1.09E+21,2.90E+19,97.7958,97.7958,0,-0.961829,-0.961829,3.29E+22,4.68E+22,-1.27E+21,-4.41E+21,2.12E+22,-2.56E+22,19585,1.71E+21,4.36E+19,105.465,105.465,0
1216,1996,4,30,4,19,4.785,1.05962,1.05962,8.71E+21,7.94E+21,1.21E+21,1.18E+21,4.56E+21,-3.38E+21,9852,1.10E+21,2.33E+19,57.7378,57.7378,0,-1.66696,-1.66696,1.70E+22,2.57E+22,-2.68E+21,-5.36E+21,1.02E+22,-1.55E+22,19429,1.71E+21,2.37E+19,49.6443,49.6443,0
1217,1996,4,30,23,28,4.806,1.19618,1.19618,1.82E+22,1.66E+22,1.04E+21,6.12E+20,8.59E+21,-7.98E+21,9916,1.11E+21,2.98E+19,117.893,117.893,0,-2.439,-2.439,3.22E+22,4.63E+22,-3.38E+21,-6.41E+21,1.99E+22,-2.63E+22,19288,1.70E+21,2.87E+19,117.728,117.728,0
1218,1996,5,1,23,28,4.833,0.332852,0.332852,3.66E+21,3.32E+21,3.30E+20,3.29E+20,1.82E+21,-1.49E+21,10047,1.12E+21,9.34E+18,36.7795,36.7795,0,-0.302476,-0.302476,6.48E+21,9.40E+21,-3.22E+20,-1.10E+21,4.15E+21,-5.25E+21,19178,1.69E+21,6.20E+18,30.2602,30.2602,0
1219,1996,5,2,23,28,4.861,1.5613,1.5613,1.88E+22,1.73E+22,1.74E+21,1.95E+21,9.61E+21,-7.67E+21,10105,1.12E+21,3.32E+19,124.701,124.701,0,-1.25309,-1.25309,3.23E+22,4.68E+22,-1.47E+21,-4.57E+21,2.11E+22,-2.57E+22,19047,1.69E+21,4.87E+19,153.501,153.501,0
1220,1996,5,4,10,39,4.902,1.51087,1.51087,9.37E+21,9.18E+21,1.39E+21,1.56E+21,5.37E+21,-3.81E+21,10295,1.13E+21,2.61E+19,55.3095,55.3095,0,-1.53467,-1.53467,1.79E+22,2.73E+22,-2.42E+21,-4.63E+21,1.13E+22,-1.59E+22,18822,1.68E+21,2.35E+19,53.1573,53.1573,0
